,Sem.,Jour,Date,Heure,Domicile,xG,Score,xG.1,Extérieur,Affluence,Tribune,Arbitre,Rapport de match,Notes
45,5,Ven,2019-09-13,20:45,Amiens,0.5,2–2,2.0,Lyon,12577,Stade Crédit Agricole la Licorne,Benoît Bastien,Rapport de match,
46,5,Sam,2019-09-14,17:30,Paris S-G,0.8,1–0,0.5,Strasbourg,47505,Parc des Princes,Amaury Delerue,Rapport de match,
47,5,Sam,2019-09-14,20:00,Brest,0.5,0–0,0.4,Rennes,14937,Stade Francis-Le Blé,Clément Turpin,Rapport de match,
48,5,Sam,2019-09-14,20:00,Dijon,1.3,0–0,0.4,Nîmes,11413,Stade Gaston Gérard,Stéphanie Frappart,Rapport de match,
49,5,Sam,2019-09-14,20:00,Montpellier,1.8,2–1,1.0,Nice,12765,Stade de la Mosson,Olivier Thual,Rapport de match,
50,5,Sam,2019-09-14,20:00,Bordeaux,1.4,2–0,1.2,Metz,14352,Stade Matmut-Atlantique,Mikael Lesage,Rapport de match,
51,5,Dim,2019-09-15,15:00,Nantes,0.4,1–0,0.7,Reims,18897,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,Rapport de match,
52,5,Dim,2019-09-15,17:00,Saint-Étienne,1.1,2–2,1.9,Toulouse,24240,Stade Geoffroy-Guichard,Jeremy Stinat,Rapport de match,
53,5,Dim,2019-09-15,21:00,Monaco,2.5,3–4,1.6,Marseille,9147,Stade Louis II.,Antony Gautier,Rapport de match,
54,,,,,,,,,,,,,,
55,6,Ven,2019-09-20,20:45,Strasbourg,2.0,2–1,0.6,Nantes,24013,Stade de la Meinau,Florent Batta,Rapport de match,
56,6,Sam,2019-09-21,17:30,Marseille,1.2,1–1,0.1,Montpellier,48007,Orange Vélodrome,Amaury Delerue,Rapport de match,
57,6,Sam,2019-09-21,20:00,Nîmes,1.4,1–0,0.7,Toulouse,12258,Stade des Costières,Karim Abed,Rapport de match,
58,6,Sam,2019-09-21,20:00,Nice,1.1,2–1,1.2,Dijon,16255,Stade de Nice,Willy Delajod,Rapport de match,
59,6,Sam,2019-09-21,20:00,Reims,1.3,0–0,0.6,Monaco,14426,Stade Auguste-Delaune II,Olivier Thual,Rapport de match,
60,6,Sam,2019-09-21,20:00,Bordeaux,1.7,2–2,1.3,Brest,15213,Stade Matmut-Atlantique,Benoît Millot,Rapport de match,
61,6,Sam,2019-09-21,20:00,Metz,1.3,1–2,1.3,Amiens,15106,Stade Saint-Symphorien,Hakim Ben El Hadj Salem,Rapport de match,
62,6,Dim,2019-09-22,15:00,Rennes,0.9,1–1,1.1,Lille,25772,Roazhon Park,Jérôme Brisard,Rapport de match,
63,6,Dim,2019-09-22,17:00,Angers,2.0,4–1,0.8,Saint-Étienne,9831,Stade Raymond Kopa,Franck Schneider,Rapport de match,
64,6,Dim,2019-09-22,21:00,Lyon,0.5,0–1,1.5,Paris S-G,54583,Groupama Stadium,Ruddy Buquet,Rapport de match,
65,,,,,,,,,,,,,,
66,7,Mar,2019-09-24,19:00,Dijon,1.4,0–0,0.9,Marseille,15061,Stade Gaston Gérard,Jeremy Stinat,Rapport de match,
67,7,Mar,2019-09-24,21:00,Monaco,2.3,3–1,0.7,Nice,9358,Stade Louis II.,Mikael Lesage,Rapport de match,
